date,wave,period,wind
2001-01-01,0.1,3.50,11
2001-01-02,0.0,3.29,6
2001-01-03,0.0,2.90,6
2001-01-04,0.1,2.40,7
2001-01-05,0.1,2.55,9
2001-01-06,0.3,4.55,15
2001-01-07,0.1,4.11,11
2001-01-08,0.0,2.80,6
2001-01-09,0.1,3.18,11
2001-01-10,0.1,3.75,11
2001-01-11,0.1,3.45,11
2001-01-12,0.0,3.62,9
2001-01-13,0.0,3.32,9
2001-01-14,0.1,3.20,10
2001-01-15,0.1,3.54,10
2001-01-16,0.1,3.52,9
2001-01-17,0.0,2.98,6
2001-01-18,0.0,2.48,5
2001-01-19,0.0,1.97,7
2001-01-20,0.2,3.12,13
2001-01-21,0.2,5.11,16
2001-01-22,0.0,4.45,10
2001-01-23,0.0,3.15,6
2001-01-24,0.0,2.58,8
2001-01-25,0.1,4.07,12
2001-01-26,0.0,4.08,7
2001-01-27,0.2,4.19,13
2001-01-28,0.5,6.28,21
2001-01-29,0.3,4.92,15
2001-01-30,0.2,3.55,13
2001-01-31,0.1,3.29,9
2001-02-01,0.0,3.16,9
2001-02-02,0.0,2.83,8
2001-02-03,0.0,2.71,7
2001-02-04,0.0,2.63,7
2001-02-05,0.2,3.87,15
2001-02-06,0.4,6.05,19
2001-02-07,0.1,4.75,10
2001-02-08,0.0,3.40,6
2001-02-09,0.0,2.61,8
2001-02-10,0.0,2.55,8
2001-02-11,0.3,3.75,15
2001-02-12,0.5,6.13,21
2001-02-13,0.1,4.33,11
2001-02-14,0.1,3.05,9
2001-02-15,0.0,2.56,7
2001-02-16,0.1,2.55,9
2001-02-17,0.0,3.31,8
2001-02-18,0.0,2.72,6
2001-02-19,0.1,3.39,11
2001-02-20,0.0,3.76,7
2001-02-21,0.1,2.94,11
2001-02-22,0.1,4.42,13
2001-02-23,0.1,4.46,10
2001-02-24,0.3,4.54,17
2001-02-25,0.2,4.99,15
2001-02-26,0.3,5.23,18
2001-02-27,0.1,4.73,11
2001-02-28,0.0,3.53,6
2001-03-01,0.0,2.61,7
2001-03-02,0.0,2.32,7
2001-03-03,0.0,2.26,8
2001-03-04,0.1,2.45,8
2001-03-05,0.1,3.22,12
2001-03-06,0.2,4.24,14
2001-03-07,0.1,3.88,10
2001-03-08,0.0,3.27,7
2001-03-09,0.0,2.30,7
2001-03-10,0.4,2.85,19
2001-03-11,0.3,4.73,16
2001-03-12,0.1,4.40,10
2001-03-13,0.1,3.27,9
2001-03-14,0.1,2.74,10
2001-03-15,0.2,3.09,13
2001-03-16,0.3,3.12,15
2001-03-17,0.1,3.76,12
2001-03-18,0.3,4.58,16
2001-03-19,0.1,3.96,12
2001-03-20,0.2,4.20,15
2001-03-21,0.2,4.17,14
2001-03-22,0.1,3.66,10
2001-03-23,0.1,2.97,10
2001-03-24,0.0,2.51,9
2001-03-25,0.2,2.85,15
2001-03-26,0.3,4.36,15
2001-03-27,0.5,5.34,19
2001-03-28,0.1,4.52,12
2001-03-29,0.1,3.31,6
2001-03-30,0.1,2.61,7
2001-03-31,0.1,2.55,8
2001-04-01,0.1,2.58,9
2001-04-02,0.1,2.81,8
2001-04-03,0.1,2.74,8
2001-04-04,0.1,2.74,9
2001-04-05,0.1,2.76,10
2001-04-06,0.0,2.31,7
2001-04-07,0.1,2.43,10
2001-04-08,0.2,2.64,13
2001-04-09,0.1,2.72,13
2001-04-10,0.4,5.43,19
2001-04-11,0.2,4.99,14
2001-04-12,0.1,3.65,9
2001-04-13,0.1,3.48,12
2001-04-14,0.2,5.06,14
2001-04-15,0.1,3.89,9
2001-04-16,0.1,3.20,8
2001-04-17,0.2,3.28,13
2001-04-18,0.5,6.32,22
2001-04-19,0.2,4.77,13
2001-04-20,0.1,3.54,8
2001-04-21,0.1,2.80,8
2001-04-22,0.1,2.70,9
2001-04-23,0.1,3.83,11
2001-04-24,0.2,3.69,11
2001-04-25,0.1,3.28,9
2001-04-26,0.1,2.94,11
2001-04-27,0.1,4.04,12
2001-04-28,0.1,3.99,11
2001-04-29,0.1,4.07,12
2001-04-30,0.2,4.10,13
2001-05-01,0.1,3.55,8
2001-05-02,0.0,2.56,9
2001-05-03,0.1,2.42,10
2001-05-04,0.1,2.51,13
2001-05-05,0.1,2.65,9
2001-05-06,0.3,3.82,16
2001-05-07,0.4,4.72,19
2001-05-08,0.1,3.73,11
2001-05-09,0.1,2.70,10
2001-05-10,0.0,2.85,7
2001-05-11,0.1,2.80,11
2001-05-12,0.1,2.55,11
2001-05-13,0.2,3.05,11
2001-05-14,0.2,3.76,11
2001-05-15,0.1,3.27,9
2001-05-16,0.1,2.80,9
2001-05-17,0.1,3.03,11
2001-05-18,0.3,4.57,17
2001-05-19,0.2,5.29,18
2001-05-20,0.1,4.34,10
2001-05-21,0.3,5.05,19
2001-05-22,0.4,5.70,21
2001-05-23,0.2,5.26,17
2001-05-24,0.2,4.38,14
2001-05-25,0.4,4.30,17
2001-05-26,0.6,5.13,24
2001-05-27,0.4,5.41,19
2001-05-28,0.1,3.59,8
2001-05-29,0.1,3.05,8
2001-05-30,0.1,2.76,9
2001-05-31,0.1,2.69,8
2001-06-01,0.2,3.48,14
2001-06-02,0.2,4.53,14
2001-06-03,0.1,3.63,9
2001-06-04,0.1,2.82,6
2001-06-05,0.1,2.62,8
2001-06-06,0.1,2.50,8
2001-06-07,0.1,3.07,11
2001-06-08,0.0,3.50,7
2001-06-09,0.1,3.47,10
2001-06-10,0.2,4.78,15
2001-06-11,0.3,4.70,17
2001-06-12,0.1,3.90,10
2001-06-13,0.1,2.99,9
2001-06-14,0.1,2.92,11
2001-06-15,0.1,2.95,8
2001-06-16,0.0,2.54,8
2001-06-17,0.1,2.53,9
2001-06-18,0.2,2.90,13
2001-06-19,0.3,4.44,17
2001-06-20,0.4,4.70,19
2001-06-21,0.1,3.90,11
2001-06-22,0.1,3.45,8
2001-06-23,0.1,2.78,7
2001-06-24,0.1,3.15,11
2001-06-25,0.1,3.66,8
2001-06-26,0.1,3.19,8
2001-06-27,0.1,2.85,9
2001-06-28,0.1,3.39,10
2001-06-29,0.1,3.45,10
2001-06-30,0.1,3.67,10
2001-07-01,0.1,3.70,11
2001-07-02,0.1,3.28,10
2001-07-03,0.2,3.60,16
2001-07-04,0.3,4.72,18
2001-07-05,0.1,3.83,11
2001-07-06,0.2,3.83,15
2001-07-07,0.3,4.19,18
2001-07-08,0.5,4.95,22
2001-07-09,0.4,5.02,21
2001-07-10,0.2,4.78,16
2001-07-11,0.2,3.85,14
2001-07-12,0.1,3.79,11
2001-07-13,0.0,3.00,7
2001-07-14,0.2,2.92,12
2001-07-15,0.1,2.80,11
2001-07-16,0.1,2.64,7
2001-07-17,0.1,2.68,8
2001-07-18,0.1,2.80,10
2001-07-19,0.1,2.62,11
2001-07-20,0.1,2.59,11
2001-07-21,0.1,2.78,10
2001-07-22,0.1,3.38,12
2001-07-23,0.1,3.12,9
2001-07-24,0.0,2.84,9
2001-07-25,0.1,2.78,11
2001-07-26,0.3,2.94,15
